,MONTH,LAT_0hr,LONG_0hr,STORM_SPEED_0hr,STORM_DIR_0hr,LAT_60hr,LONG_60hr,STORM_SPEED_60hr,STORM_DIR_60hr,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets,mag_0hr,ang_0hr,mag_60hr,ang_60hr,dist_0hr,dist_60hr,EP,NI,SA,SI,SP,WP,34kn_pop_qz,34kn_asset_qz
67,9,17.0008,118.652,13,270,19.3672,108.931,7,286,5739446,129000000000.0,0,0.0,0,0.0,2110.7174009352725,91.35469342996629,2353.1992869290984,91.41285029276182,1.3154795664737673,0.0,0,0,0,0,0,1,1,1
69,10,8.91526,147.579,11,246,8.17449,139.899,8,273,7109,129734276.0,0,0.0,0,0.0,1136.6038573076069,91.19164832514771,1267.9374823485048,90.86284421810208,0.8259675962100433,0.44501638075469935,0,0,0,0,0,1,0,0
70,10,9.84007,117.633,26,335,12.8499,102.963,6,260,1849851,10784775389.0,0,0.0,0,0.0,2229.454394344302,88.57338979527846,3026.2199530437324,88.53669787187181,0.6081842376944683,0.0,0,0,0,0,0,1,0,0
71,10,14.9877,127.5,10,270,13.2371,117.358,9,267,12448,141084119.0,0,0.0,0,0.0,1143.8416657949995,91.36119995282925,1484.3930938092053,88.62076605541009,3.2830255033844926,2.649556590511887,0,0,0,0,0,1,0,0
73,10,5.55244,151.598,8,276,8.53551,144.332,10,306,1527196,6382214155.0,0,0.0,0,0.0,1693.5609640560444,91.08591357756144,1648.807926919543,91.0708055934879,1.4789445573830688,0.22247191413749695,0,0,0,0,0,1,0,0
74,10,8.83853,148.758,8,309,15.6399,141.033,10,295,1129855,96380240787.0,0,0.0,0,0.0,1260.325383648202,91.22320849979238,1083.1881757426959,91.54845546103249,0.9322279406781279,4.203200123454985,0,0,0,0,0,1,0,0
75,11,8.21005,149.676,7,299,14.7965,143.301,16,293,14485495,272000000000.0,175732,3596710775.0,0,0.0,1378.9317379321121,91.2012159747829,1333.0529060608103,91.48467262941827,0.36295831931090805,1.884248876540729,0,0,0,0,0,1,1,1
76,11,10.4871,145.107,12,288,17.0669,128.807,12,288,68570,6629179008.0,0,0.0,0,0.0,824.0550814943264,91.26362101306817,256.0853688633526,91.05262339818074,1.2813079852857412,5.405395180194773,0,0,0,0,0,1,0,0
77,11,7.13916,143.392,22,291,14.1804,127.252,11,293,9194658,167000000000.0,0,0.0,0,0.0,853.6683177304453,90.77390574439278,430.16430385785634,88.86066359591311,0.4845676514306493,2.597284494599883,0,0,0,0,0,1,1,1
78,12,6.70659,146.454,12,288,9.42374,134.693,13,300,173886,1685380119.0,775,24490890.0,0,0.0,1142.7241734210966,90.95452895820469,789.4158087203144,90.53058489748193,0.749109815240731,1.332048014591442,0,0,0,0,0,1,0,0
79,12,9.16018,150.103,12,275,9.56894,138.721,11,263,595886,5229706508.0,0,0.0,0,0.0,1389.0028111350537,91.28290503816103,1073.2157472257463,90.89209160755387,0.17087927366711167,0.5108485048553992,0,0,0,0,0,1,0,0
81,5,7.70827,149.496,10,291,9.49716,138.114,15,287,4061712,550000000000.0,797643,110000000000.0,0,0.0,1381.7720110671996,91.15915931068535,1027.0671060362738,90.84662377166697,0.0934268783862644,0.0011259910034968203,0,0,0,0,0,1,1,1
82,6,10.0801,109.485,8,66,16.6914,110.259,11,306,144447,2034551777.0,0,0.0,0,0.0,3107.101613696576,88.5239948541748,2204.879965633275,91.53085594281188,0.40625564823150445,1.2691783903265883,0,0,0,0,0,1,0,0
83,6,7.76051,141.43,18,260,12.6617,129.094,16,302,10203624,68159586346.0,0,0.0,0,0.0,662.3178660159291,90.61564839021308,386.1373571494266,89.48362149286439,1.066896180130485,3.5701813315719693,0,0,0,0,0,1,1,1
84,6,5.10162,149.698,6,289,7.66379,143.408,7,272,99798107,2340000000000.0,3740889,86534433832.0,0,0.0,1537.679721234045,90.99464937346848,1610.4856951542445,90.9898956392967,1.6198973812220343,0.5172306395071777,0,0,0,0,0,1,1,1
86,7,17.0479,157.646,7,280,19.3491,152.306,6,297,1237370,206000000000.0,0,0.0,0,0.0,2168.0094747848098,88.64186819134677,2291.4676732280413,88.5906036473915,7.0403677924634875,5.20870590529826,0,0,0,0,0,1,0,0
87,7,19.9657,130.752,13,38,24.8529,140.811,9,51,8194,1220940667.0,0,0.0,0,0.0,1065.2072411939598,90.78132096631775,1365.2519810999825,89.16640800456193,4.515787318139772,0.4778218701273545,0,0,0,0,0,1,0,0
88,8,7.94008,154.269,8,278,12.4145,146.509,14,313,95995669,2060000000000.0,26937307,577000000000.0,11247882,232000000000.0,1865.5982282636069,91.28366399267068,1719.674918561603,91.35299469836373,0.16779575132880895,1.9318797106445198,0,0,0,0,0,1,1,1
89,8,17.2064,126.717,5,275,18.7201,119.999,12,278,8186617,184000000000.0,3987517,91564700949.0,580774,14035658484.0,1284.343761946683,91.19325785486868,1193.7860917308647,91.31502450689837,3.9391226378564275,0.6062677469039615,0,0,0,0,0,1,1,1
91,8,8.9348,146.497,11,298,15.9943,133.783,15,297,55983922,1190000000000.0,7414434,171000000000.0,0,0.0,1026.5088044450545,91.15112046641725,307.116467609214,88.47387518296637,0.8789314268678693,4.992078213844015,0,0,0,0,0,1,1,1
92,8,10.4291,161.226,12,255,14.5451,151.595,14,304,86427266,2080000000000.0,61442136,1440000000000.0,26649938,682000000000.0,2554.759365760038,91.47044888259148,2222.9918813041368,91.50701392373115,0.6619936536493357,5.724058761510051,0,0,0,0,0,1,1,1
96,9,17.44,127.475,8,307,20.0339,119.725,5,266,91505727,2200000000000.0,20390103,556000000000.0,2451997,76529225130.0,1217.7041807317746,91.14968731504202,1255.4551940991594,91.21420043224093,4.613437487348557,1.720226441541355,0,0,0,0,0,1,1,1
97,9,18.1988,-108.359,8,323,22.5379,-108.097,5,0,1920696,22111844167.0,0,0.0,0,0.0,1903.9277296438163,91.32263853483607,1263.1932062141996,91.17541870495351,2.60541734281517,1.5137197928140484,1,0,0,0,0,0,0,0
99,9,7.1501,152.655,15,332,11.7767,140.243,15,283,83306919,9700000000000.0,16941166,2120000000000.0,1095098,152000000000.0,1726.4167929831956,91.20676293130751,1093.8151957200425,91.15770464369511,0.16641648891861038,1.7685315777517234,0,0,0,0,0,1,1,1
101,9,15.9975,109.853,3,90,17.6927,112.709,6,351,5888656,135000000000.0,0,0.0,0,0.0,3033.9706045842863,91.4564861462452,1945.522873124742,91.47078776378913,0.9329828139553186,0.8331028211067332,0,0,0,0,0,1,1,1
102,10,14.2048,-101.844,7,334,19.5592,-108.25,9,278,745403,14040222616.0,0,0.0,0,0.0,1166.1871777369504,91.5343188867745,1214.9609490906987,91.42086131142761,3.1535897057753055,2.5648871009214087,1,0,0,0,0,0,0,0
105,10,8.6961,137.35,17,277,14.9785,121.016,11,286,8318253,187000000000.0,3913292,90237346552.0,1907452,43685411470.0,439.4360650711592,89.87103355208421,1064.9042380815768,88.51863751331521,0.19932272012241953,0.0,0,0,0,0,0,1,1,1
106,10,11.558,131.113,19,292,18.9398,118.002,11,286,25613,174635393.0,0,0.0,0,0.0,746.8713228472062,88.60783491962536,1403.9789735745749,91.33707795026676,5.002844126101483,2.181563727468208,0,0,0,0,0,1,0,0
107,11,6.35013,154.225,9,276,7.99323,143.017,16,285,16326973,134000000000.0,9353596,57462749922.0,1270485,8507747998.0,1919.7159077289837,91.19602778161621,1555.0282195289778,90.9941085680557,0.9244379750534921,1.0271811183452473,0,0,0,0,0,1,1,1
108,3,6.21103,135.656,11,308,9.62066,126.171,11,273,8009840,74860130531.0,0,0.0,0,0.0,745.2624739996812,89.67359547544407,831.7210664023672,89.35055386013072,1.5526910254297273,0.0036309077376378723,0,0,0,0,0,1,1,1
109,5,7.05032,130.87,10,275,10.0699,122.351,11,283,27085582,647000000000.0,5543261,127000000000.0,0,0.0,982.5572364648231,89.11444641779647,1108.2438268100955,89.0242817581262,2.1679452172275897,0.13515570467058002,0,0,0,0,0,1,1,1
111,6,13.2511,-93.6639,10,300,15.7425,-98.8926,8,277,33,1245469.0,0,0.0,0,0.0,289.6902112189497,88.63926985579438,305.8093591938316,89.21992313586354,1.9151896985825552,0.6674420102690554,1,0,0,0,0,0,0,0
115,7,13.6951,-95.3976,6,252,15.8425,-104.761,10,300,574038,9671835486.0,198165,3189390053.0,1862,85466447.0,470.79778215260393,88.45568653133586,868.7790971316726,88.67493975316681,2.1394376924026126,2.7689228376352406,1,0,0,0,0,0,0,0
117,8,16.145,114.6,7,15,22.1077,112.208,14,306,30827160,742000000000.0,0,0.0,0,0.0,2528.78062198064,91.42723278893773,2060.050674647836,91.24872915650054,1.9298479318218331,0.0,0,0,0,0,0,1,1,1
118,8,22.5578,137.848,9,290,24.3845,129.085,4,288,55711473,6910000000000.0,7422852,969000000000.0,1415786,139000000000.0,1010.4975260059758,90.00323099136082,874.5241851067456,90.2114195157875,2.7634177946385683,2.0979859898495348,0,0,0,0,0,1,1,1
119,8,9.99971,158.198,6,270,9.87995,152.464,7,285,57906028,1430000000000.0,16967917,395000000000.0,817,93880611.0,2234.2644206613513,91.43481707319086,2418.411322909284,91.2998596601714,2.6129122632472592,1.1211551723155901,0,0,0,0,0,1,1,1
121,9,17.55,112.55,6,53,21.3212,108.839,9,301,28543873,654000000000.0,0,0.0,0,0.0,2759.7036273366434,91.38464934944281,2385.3496748360226,91.32852241248625,0.634223510987254,0.24187005169099127,0,0,0,0,0,1,1,1
122,9,18.7985,151.967,4,302,19.325,144.788,9,271,2857963,81529653890.0,4179,413781835.0,0,0.0,1630.6194618118575,88.83297300587006,1510.501086421732,88.67352444940924,5.840549710591371,0.7001060219438153,0,0,0,0,0,1,1,1
123,9,19.7026,-106.96,1,270,25.7062,-115.733,9,298,2008,60728146.0,0,0.0,0,0.0,1798.0749287966114,91.21632203809389,2090.4898796244624,91.17625782229504,1.4356640545308574,1.9605853436583718,1,0,0,0,0,0,0,0
125,9,17.6438,156.73,3,253,17.3696,151.356,8,253,54840166,6250000000000.0,16031438,1860000000000.0,109886,24422904869.0,2083.024614630103,88.68172965829069,2181.928597308701,88.50262237364213,7.1826561609802795,5.459203464171302,0,0,0,0,0,1,1,1
126,9,21.61,116.815,3,223,19.1273,114.397,5,201,6753,115209313.0,0,0.0,0,0.0,2410.56762044472,91.17384957839774,1780.7124374440732,91.37584590493539,0.901302159333926,2.714811559477562,0,0,0,0,0,1,0,0
127,9,19.9101,-108.057,12,300,21.9882,-113.62,9,257,23,0.0,0,0.0,0,0.0,1913.8508866571415,91.22662070579744,1800.2660420141626,91.32827782130177,2.200429464018335,2.983927600840378,1,0,0,0,0,0,0,0
128,9,10.6981,149.193,15,278,12.844,139.556,10,263,62072926,7900000000000.0,17814848,2210000000000.0,2195312,290000000000.0,1251.4304633088116,91.3888332896482,982.6399183373642,91.23442316660174,1.9442611651959156,2.7579155469493606,0,0,0,0,0,1,1,1
129,9,17.514,-104.003,8,315,21.119,-112.009,6,289,899539,14855458380.0,0,0.0,0,0.0,1438.9910198319872,91.29251193174477,1622.7790061022174,91.35768960013388,0.9386159074818632,2.1477300488359785,1,0,0,0,0,0,0,0
131,9,13.796,-96.299,7,236,13.8064,-101.851,3,305,124151,1685489286.0,0,0.0,0,0.0,567.8687275583202,88.43196588106683,677.1352988737026,89.10457590202833,1.854212284953639,3.5302573160210278,1,0,0,0,0,0,0,0
132,9,15.5524,145.802,2,296,15.5,143.458,3,270,10323688,249000000000.0,2397945,52232384967.0,0,0.0,902.0959030352273,88.76585711590083,1343.3986211869433,91.54162730466695,0.26221548154142293,2.157528602543439,0,0,0,0,0,1,1,1
134,10,9.72016,140.899,10,290,13.0439,134.638,8,282,95382086,2340000000000.0,49658113,1140000000000.0,1955146,58235644952.0,463.1648651669309,90.77878852671219,496.5759233268299,90.92240050277734,0.36585899296450786,4.9048040377851,0,0,0,0,0,1,1,1
135,10,12.6041,-91.5451,9,271,14.0613,-104.302,6,279,1820543,14070631521.0,0,0.0,0,0.0,138.1465487100855,89.60356463117645,887.6351661888043,88.89636156138758,1.3657966265428227,4.284379136211572,1,0,0,0,0,0,0,0
136,11,4.51271,146.992,12,298,9.89174,138.147,16,290,3607193,84733157010.0,0,0.0,0,0.0,1339.1554591852612,90.8340017697155,1002.6922445002407,90.88046400460652,2.8371855340195853,0.2592883802120726,0,0,0,0,0,1,1,1
137,11,10.8474,151.049,15,274,12.3538,136.011,15,277,16224946,151000000000.0,3128169,29916651207.0,140656,2413568756.0,1447.9950714858942,91.42510590871146,659.9611704646492,90.96750419897428,2.0732731522908456,3.468757275231729,0,0,0,0,0,1,1,1
138,11,11.448,156.801,6,260,12.1979,149.97,6,255,19974781,185000000000.0,9618875,87732866107.0,2638366,25021136231.0,2061.73572277974,91.50052908594598,2090.9823855690793,91.38063753084072,4.115099107632998,3.2111062650259643,0,0,0,0,0,1,1,1
139,12,7.50515,134.865,13,268,9.84619,122.264,10,276,16310337,154000000000.0,0,0.0,0,0.0,653.4489599325819,89.48077712236108,1129.5512352612022,89.03723390452404,0.21732146827453802,0.09980822032778616,0,0,0,0,0,1,1,1
141,1,7.54002,139.532,10,253,6.94886,130.337,7,271,19139304,191000000000.0,7559112,78182775882.0,0,0.0,588.7240391205546,90.30548943742622,941.6202530776843,89.93546213838486,1.0198892859933404,2.4679521393455,0,0,0,0,0,1,1,1
142,1,-16.3139,118.41,7,120,-22.6847,121.025,14,192,17364,908110770.0,1531,275339230.0,296,45151877.0,3090.230746711897,91.45425532696449,3658.8917970197817,91.35442102763976,1.3205349380080798,0.0,0,0,0,1,0,0,0,0
143,6,18.3,114.998,2,8,20.7296,114.545,5,350,31135082,857000000000.0,0,0.0,0,0.0,2514.0530726876045,91.33406694833805,1793.8522474599185,91.28197081982339,2.78764168450198,1.2232359311567813,0,0,0,0,0,1,1,1
144,6,11.3375,113.59,4,327,16.8462,110.632,7,324,5649502,135000000000.0,2175808,47303792577.0,0,0.0,2645.0952053148826,88.48851122303078,2164.890747993497,91.52250466985167,0.6660450545368491,0.9602989143344816,0,0,0,0,0,1,1,1
145,7,10.3988,146.658,10,315,14.3669,138.411,7,281,87488,10942259916.0,87488,10942259901.0,22426,3237143657.0,989.2084790324709,91.30594051613386,819.7633569644224,91.3734546866904,1.72617444779518,4.469454114084289,0,0,0,0,0,1,0,0
146,7,17.908,137.1,13,279,26.6778,138.055,15,343,4153209,598000000000.0,58219,8577425018.0,0,0.0,542.5463307033688,90.15086414482192,1302.4900162654278,89.4162449857472,2.711448421869206,2.8737454365760864,0,0,0,0,0,1,1,1
147,7,23.0389,152.648,7,295,27.4148,142.884,15,302,8194,1220940667.0,0,0.0,0,0.0,1882.53925304402,89.03634271684993,1679.728870794438,89.19666434619629,1.8164104260571194,0.6678700651122045,0,0,0,0,0,1,0,0
148,7,22.7965,137.752,9,64,33.2988,140.944,20,32,6800,1012022675.0,0,0.0,0,0.0,1034.6075818128963,90.01273726330065,1962.3891488505817,89.47787016415087,2.89517091818861,1.103833657219241,0,0,0,0,0,1,0,0
