,SID,BASIN,MONTH,DAY,LAT_0hr,LONG_0hr,WMO_WIND_0hr,WMO_PRES_0hr,STORM_SPEED_0hr,STORM_DIR_0hr,LAT_12hr,LONG_12hr,WMO_WIND_12hr,WMO_PRES_12hr,STORM_SPEED_12hr,STORM_DIR_12hr,LAT_24hr,LONG_24hr,WMO_WIND_24hr,WMO_PRES_24hr,STORM_SPEED_24hr,STORM_DIR_24hr,LAT_36hr,LONG_36hr,WMO_WIND_36hr,WMO_PRES_36hr,STORM_SPEED_36hr,STORM_DIR_36hr,LAT_48hr,STORM_SPEED_48hr,STORM_DIR_48hr,LAT_60hr,LONG_60hr,WMO_WIND_60hr,WMO_PRES_60hr,STORM_SPEED_60hr,STORM_DIR_60hr,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
0,1950166N14262,EP,6,14,14.1435,-98.3448, , ,3,289,14.5842,-99.1921, , ,7,305,15.3169,-99.9796, , ,2,332,15.7468,-100.426, , ,3,344,16.1143,3,272,16.2896,-101.343, , ,5,293,5363094,95322886672.0,555969,8373495136.0,0,0.0
0,1950185N18254,EP,7,3,18.7033,-106.098, , ,7,327,19.845,-106.938, , ,8,325,20.8762,-108.097, , ,6,298,21.1455,-110.791, , ,7,279,21.5775,8,298,22.5509,-112.401, , ,9,304,887162,13252730550.0,0,0.0,0,0.0
